Month,Name,Ranking,Visible
,Oracle,1516.56,Yes
,Oracle,1488.939,Yes
,Oracle,1559.332,Yes
,Oracle,1567.933,Yes
,Oracle,1533.395,Yes
,Oracle,1560.594,Yes
,Oracle,1545.86,Yes
,Oracle,1514.896,Yes
,Oracle,1527.639,Yes
,Oracle,1544.436,Yes
,Oracle,1529.611,Yes
,Oracle,1583.845,Yes
,Oracle,1617.192,Yes
,Oracle,1468.058,Yes
,Oracle,1467.794,Yes
,Oracle,1500.229,Yes
,Oracle,1491.799,Yes
,Oracle,1514.08,Yes
,Oracle,1502.739,Yes
,Oracle,1500.918,Yes
,Oracle,1485.117,Yes
,Oracle,1470.857,Yes
,Oracle,1466.908,Yes
,Oracle,1471.898,Yes
,Oracle,1452.127,Yes
,Oracle,1459.795,Yes
,Oracle,1439.161,Yes
,Oracle,1439.72,Yes
,Oracle,1469.086,Yes
,Oracle,1446.129,Yes
,Oracle,1442.097,Yes
,Oracle,1466.361,Yes
,Oracle,1456.724,Yes
,Oracle,1453.024,Yes
,Oracle,1463.374,Yes
,Oracle,1466.952,Yes
,Oracle,1480.946,Yes
,Oracle,1497.555,Yes
,Oracle,1496.084,Yes
,Oracle,1476.141,Yes
,Oracle,1472.012,Yes
,Oracle,1467.532,Yes
,Oracle,1462.024,Yes
,Oracle,1449.248,Yes
,Oracle,1441.528,Yes
,Oracle,1427.722,Yes
,Oracle,1425.565,Yes
,Oracle,1417.102,Yes
,Oracle,1413.008,Yes
,Oracle,1404.405,Yes
,Oracle,1416.724,Yes
,Oracle,1403.83,Yes
,Oracle,1399.498,Yes
,Oracle,1401.996,Yes
,Oracle,1354.314,Yes
,Oracle,1351.762,Yes
,Oracle,1374.877,Yes
,Oracle,1367.875,Yes
,Oracle,1359.09,Yes
,Oracle,1348.804,Yes
,Oracle,1360.052,Yes
,Oracle,1341.545,Yes
,Oracle,1341.941,Yes
,Oracle,1303.277,Yes
,Oracle,1289.607,Yes
,Oracle,1289.787,Yes
,Oracle,1290.416,Yes
,Oracle,1311.252,Yes
,Oracle,1277.787,Yes
,Oracle,1312.022,Yes
,Oracle,1309.117,Yes
,Oracle,1319.268,Yes
,Oracle,1301.112,Yes
,Oracle,1283.222,Yes
,Oracle,1268.836,Yes
,Oracle,1264.017,Yes
,Oracle,1279.138,Yes
,Oracle,1279.94,Yes
,Oracle,1285.549,Yes
,Oracle,1299.215,Yes
,Oracle,1321.257,Yes
,Oracle,1339.477,Yes
,Oracle,1346.657,Yes
,Oracle,1355.878,Yes
,Oracle,1336.068,Yes
,Oracle,1346.393,Yes
,Oracle,1346.682,Yes
,Oracle,1344.75,Yes
,Oracle,1340.641,Yes
,Oracle,1345.422,Yes
,Oracle,1345.441,Yes
,Oracle,1343.587,Yes
,Oracle,1340.256,Yes
,Oracle,1355.157,Yes
,Oracle,1369.363,Yes
,Oracle,1368.771,Yes
,Oracle,1344.997,Yes
,Oracle,1325.597,Yes
,Oracle,1322.935,Yes
,Oracle,1316.671,Yes
,Oracle,1321.734,Yes
,Oracle,1274.915,Yes
,Oracle,1269.94,Yes
,Oracle,1270.941,Yes
,Oracle,1262.664,Yes
,Oracle,1269.257,Yes
,Oracle,1271.545,Yes
,Oracle,1270.352,Yes
,Oracle,1272.73,Yes
,Oracle,1281.737,Yes
,Oracle,1266.885,Yes
,Oracle,1256.832,Yes
,Oracle,1251.318,Yes
,Oracle,1254.816,Yes
,Oracle,1262.817,Yes
,Oracle,1287.741,Yes
,Oracle,1280.297,Yes
,Oracle,1260.796,Yes
,Oracle,1238.252,Yes
,Oracle,1236.368,Yes
,MySQL,1273.47,Yes
,MySQL,1324.673,Yes
,MySQL,1313.677,Yes
,MySQL,1284.783,Yes
,MySQL,1295.218,Yes
,MySQL,1342.454,Yes
,MySQL,1352.242,Yes
,MySQL,1334.944,Yes
,MySQL,1305.234,Yes
,MySQL,1324.826,Yes
,MySQL,1305.758,Yes
,MySQL,1331.338,Yes
,MySQL,1254.271,Yes
,MySQL,1309.291,Yes
,MySQL,1296.914,Yes
,MySQL,1288.389,Yes
,MySQL,1290.214,Yes
,MySQL,1292.669,Yes
,MySQL,1309.097,Yes
,MySQL,1309.554,Yes
,MySQL,1295.781,Yes
,MySQL,1281.219,Yes
,MySQL,1297.139,Yes
,MySQL,1262.972,Yes
,MySQL,1279.078,Yes
,MySQL,1268.58,Yes
,MySQL,1277.51,Yes
,MySQL,1272.451,Yes
,MySQL,1261.092,Yes
,MySQL,1284.579,Yes
,MySQL,1294.264,Yes
,MySQL,1278.357,Yes
,MySQL,1283.335,Yes
,MySQL,1292.03,Yes
,MySQL,1277.745,Yes
,MySQL,1278.958,Yes
,MySQL,1286.843,Yes
,MySQL,1298.538,Yes
,MySQL,1299.26,Yes
,MySQL,1321.125,Yes
,MySQL,1347.714,Yes
,MySQL,1370.107,Yes
,MySQL,1371.826,Yes
,MySQL,1370.134,Yes
,MySQL,1363.287,Yes
,MySQL,1357.032,Yes
,MySQL,1354.026,Yes
,MySQL,1362.647,Yes
,MySQL,1373.557,Yes
,MySQL,1374.406,Yes
,MySQL,1366.287,Yes
,MySQL,1380.302,Yes
,MySQL,1376.075,Yes
,MySQL,1364.62,Yes
,MySQL,1340.025,Yes
,MySQL,1345.307,Yes
,MySQL,1349.107,Yes
,MySQL,1340.298,Yes
,MySQL,1312.612,Yes
,MySQL,1298.829,Yes
,MySQL,1322.029,Yes
,MySQL,1318.069,Yes
,MySQL,1299.708,Yes
,MySQL,1252.471,Yes
,MySQL,1228.867,Yes
,MySQL,1226.402,Yes
,MySQL,1223.339,Yes
,MySQL,1233.688,Yes
,MySQL,1196.069,Yes
,MySQL,1206.812,Yes
,MySQL,1180.479,Yes
,MySQL,1178.116,Yes
,MySQL,1159.892,Yes
,MySQL,1161.248,Yes
,MySQL,1154.267,Yes
,MySQL,1167.29,Yes
,MySQL,1198.249,Yes
,MySQL,1215.138,Yes
,MySQL,1218.962,Yes
,MySQL,1223.629,Yes
,MySQL,1229.522,Yes
,MySQL,1253.684,Yes
,MySQL,1279.074,Yes
,MySQL,1283.061,Yes
,MySQL,1266.283,Yes
,MySQL,1275.667,Yes
,MySQL,1274.654,Yes
,MySQL,1267.65,Yes
,MySQL,1259.73,Yes
,MySQL,1268.349,Yes
,MySQL,1282.637,Yes
,MySQL,1277.886,Yes
,MySQL,1268.508,Yes
,MySQL,1261.573,Yes
,MySQL,1264.246,Yes
,MySQL,1256.375,Yes
,MySQL,1241.64,Yes
,MySQL,1255.454,Yes
,MySQL,1252.058,Yes
,MySQL,1243.369,Yes
,MySQL,1254.826,Yes
,MySQL,1220.688,Yes
,MySQL,1236.377,Yes
,MySQL,1227.859,Yes
,MySQL,1228.382,Yes
,MySQL,1238.217,Yes
,MySQL,1212.524,Yes
,MySQL,1219.767,Yes
,MySQL,1211.521,Yes
,MySQL,1206.044,Yes
,MySQL,1206.051,Yes
,MySQL,1214.683,Yes
,MySQL,1198.234,Yes
,MySQL,1204.163,Yes
,MySQL,1202.099,Yes
,MySQL,1189.213,Yes
,MySQL,1194.872,Yes
,MySQL,1202.851,Yes
,MySQL,1212.466,Yes
,MySQL,1205.375,Yes
,Microsoft SQL Server,1249.84,Yes
,Microsoft SQL Server,1356.836,Yes
,Microsoft SQL Server,1311.342,Yes
,Microsoft SQL Server,1310.614,Yes
,Microsoft SQL Server,1318.364,Yes
,Microsoft SQL Server,1278.152,Yes
,Microsoft SQL Server,1252.719,Yes
,Microsoft SQL Server,1286.222,Yes
,Microsoft SQL Server,1321.987,Yes
,Microsoft SQL Server,1304.963,Yes
,Microsoft SQL Server,1313.781,Yes
,Microsoft SQL Server,1207.003,Yes
